Season,Round,Team A,Team B,Team A SRS,Team B SRS,Team A ORtg,Team B ORtg,Team A DRtg,Team B DRtg,Winner,Team A Age,Team B Age,Team A W,Team B W,Team A L,Team B L,Team A PW,Team B PW,Team A PL,Team B PL,Team A MOV,Team B MOV,Team A SOS,Team B SOS,Team A NRtg,Team B NRtg,Team A Pace,Team B Pace,Team A FTr,Team B FTr,Team A 3PAr,Team B 3PAr,Team A TS%,Team B TS%
2014,NBA Finals,San Antonio Spurs,Miami Heat,8.0,4.15,110.5,110.9,102.4,105.8,San Antonio Spurs,28.9,30.6,62,54,20,28,61,54,21,28,7.72,4.76,0.28,-0.61,8.1,5.1,95.0,91.2,0.24,0.3,0.257,0.292,0.571,0.59
2015,First Round,Atlanta Hawks,Brooklyn Nets,4.75,-3.13,108.9,104.4,103.1,107.4,Atlanta Hawks,27.8,28.6,60,38,22,44,56,33,26,49,5.43,-2.88,-0.68,-0.25,5.8,-3.0,93.9,92.7,0.259,0.267,0.321,0.24,0.563,0.529
2015,First Round,Chicago Bulls,Milwaukee Bucks,2.54,-0.09,107.5,102.7,104.3,102.2,Chicago Bulls,28.8,24.6,50,41,32,41,50,42,32,40,3.0,0.43,-0.46,-0.52,3.2,0.5,92.8,94.1,0.304,0.258,0.269,0.223,0.536,0.536
2015,First Round,Cleveland Cavaliers,Boston Celtics,4.08,-0.4,111.1,104.7,106.3,104.5,Cleveland Cavaliers,26.9,25.0,53,40,29,42,53,41,29,41,4.48,0.16,-0.4,-0.56,4.8,0.2,92.3,95.8,0.287,0.233,0.334,0.28,0.557,0.523
2015,First Round,Washington Wizards,Toronto Raptors,0.17,2.45,103.7,111.0,103.0,107.7,Washington Wizards,28.6,26.1,46,49,36,33,43,49,39,33,0.72,3.07,-0.55,-0.62,0.7,3.3,93.7,92.8,0.259,0.295,0.203,0.302,0.534,0.553
2015,First Round,Golden State Warriors,New Orleans Pelicans,10.01,1.13,111.6,108.2,101.4,107.3,Golden State Warriors,26.6,25.3,67,45,15,37,65,43,17,39,10.1,0.79,-0.09,0.34,10.2,0.9,98.3,91.4,0.239,0.263,0.311,0.233,0.571,0.537
2015,First Round,Houston Rockets,Dallas Mavericks,3.82,3.36,107.0,109.5,103.4,106.4,Houston Rockets,27.6,29.9,56,50,26,32,50,49,32,33,3.44,2.9,0.38,0.46,3.6,3.1,96.5,95.2,0.312,0.262,0.392,0.296,0.548,0.55
2015,First Round,Los Angeles Clippers,San Antonio Spurs,6.8,6.34,112.4,108.5,105.5,102.0,Los Angeles Clippers,28.8,29.8,56,55,26,27,58,58,24,24,6.59,6.2,0.22,0.14,6.9,6.5,94.7,93.8,0.303,0.256,0.322,0.269,0.565,0.555
2015,First Round,Memphis Grizzlies,Portland Trail Blazers,3.62,4.41,105.7,108.2,102.2,103.7,Memphis Grizzlies,29.6,27.0,55,51,27,31,50,53,32,29,3.24,4.23,0.38,0.18,3.5,4.5,92.0,94.2,0.276,0.225,0.184,0.316,0.531,0.544
2015,Conference Semifinals,Atlanta Hawks,Washington Wizards,4.75,0.17,108.9,103.7,103.1,103.0,Atlanta Hawks,27.8,28.6,60,46,22,36,56,43,26,39,5.43,0.72,-0.68,-0.55,5.8,0.7,93.9,93.7,0.259,0.259,0.321,0.203,0.563,0.534
2015,Conference Semifinals,Cleveland Cavaliers,Chicago Bulls,4.08,2.54,111.1,107.5,106.3,104.3,Cleveland Cavaliers,26.9,28.8,53,50,29,32,53,50,29,32,4.48,3.0,-0.4,-0.46,4.8,3.2,92.3,92.8,0.287,0.304,0.334,0.269,0.557,0.536
2015,Conference Semifinals,Golden State Warriors,Memphis Grizzlies,10.01,3.62,111.6,105.7,101.4,102.2,Golden State Warriors,26.6,29.6,67,55,15,27,65,50,17,32,10.1,3.24,-0.09,0.38,10.2,3.5,98.3,92.0,0.239,0.276,0.311,0.184,0.571,0.531
2015,Conference Semifinals,Houston Rockets,Los Angeles Clippers,3.82,6.8,107.0,112.4,103.4,105.5,Houston Rockets,27.6,28.8,56,56,26,26,50,58,32,24,3.44,6.59,0.38,0.22,3.6,6.9,96.5,94.7,0.312,0.303,0.392,0.322,0.548,0.565
2015,Conference Finals,Cleveland Cavaliers,Atlanta Hawks,4.08,4.75,111.1,108.9,106.3,103.1,Cleveland Cavaliers,26.9,27.8,53,60,29,22,53,56,29,26,4.48,5.43,-0.4,-0.68,4.8,5.8,92.3,93.9,0.287,0.259,0.334,0.321,0.557,0.563
